Dataset,Generator,Video ID,Original Instruction / Task,Generation Prompt,Task Outcome,Incomplete task (0/1),Wrong goal (0/1),Task Score (0-1),No-contact motion (0/1),Lost / wrong contact (0/1),Sticking (0/1),Contact Score (0-1),Robot deformation (0/1),Object deformation (0/1),Object duplication/disappear (0/1),Spatial inconsistency (0/1),Geometry Score (0-1),Penetration R-O (0/1),Penetration R-E (0/1),Penetration O-E (0/1),Penetration Score (0-1),Error Description / Timestamp,Note,Affects Execution?,Forearm deformation,Gripper deformation,Upper arm deformation
Cosmos2.5,Cosmos,cosmos_RoboWM_011,discard_trash,"The robotic arm picks up the white cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,0,1,0,0,1,0.67,1,0,0,0,0.75,0,0,0,1,"The gripper deforms, and one of its fingers disappears at the beginning, immediately before grasping the cup, and again at the end during release.",,Possibly,0,1,0
Cosmos2.5,Cosmos,cosmos_RoboWM_012,discard_trash,"The robotic arm picks up the white cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,0,1,0,0,1,0.67,1,0,0,0,0.75,0,0,0,1,The robot arm becomes noticeably shorter as it begins moving to grasp the cup.,,Possibly,0,0,1
Cosmos2.5,Cosmos,cosmos_RoboWM_013,pick,"The robotic arm picks up the white cup from the table to a certain height. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,0,1,1,0,0,0.67,1,0,0,1,0.5,1,0,0,0.67,"The cup moves by itself toward the robot arm without contact. The object also penetrates the gripper, and the robot arm becomes noticeably shorter as it begins moving.",,Yes,0,0,1
Cosmos2.5,Cosmos,cosmos_RoboWM_014,pick,"The robotic arm picks up the white cup from the table to a certain height. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,1,0,0,0,0,1,1,0,0,1,0.5,0,0,0,1,"The robot arm becomes noticeably shorter as it begins moving. The gripper grasps the cup but fails to lift it because of poor spatial reasoning; instead, it moves the cup farther from the camera.",,Yes,0,0,1
Cosmos2.5,Cosmos,cosmos_RoboWM_021,pick,"The robotic arm picks up the brown paper cup from the tabletop to a certain height. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,0,1,0,0,0,1,0.75,0,0,0,1,The task is incomplete because of poor spatial reasoning.,,Yes,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_022,pick,"The robotic arm picks up the brown paper cup from the table to a certain height. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,0,1,1,0,0,1,0.5,0,0,0,1,"The task is incomplete because of poor spatial reasoning. The gripper's right finger deforms/disappears, and the robot arm becomes significantly smaller and bent after it begins moving.",,Yes,0,1,1
Cosmos2.5,Cosmos,cosmos_RoboWM_023,pull,"The robotic arm pulls the yellow cube on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,"The cube is lifted only slightly. The lifting motion is limited to the gripper's range, so the action is not fully completed.",,Possibly,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_024,pull,"The robotic arm pulls the yellow cube on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,1,0,0,0.67,0,0,0,0,1,0,0,0,1,"The yellow cube moves toward the gripper by itself without contact, and the gripper releases the cube before lifting it, leaving the task incomplete.",,Yes,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_025,pull,"The robotic arm pulls the yellow cube on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,0,1,1,1,0,0,0.5,0,0,0,1,"The gripper releases the cube before lifting it, leaving the task incomplete. At the contact point, both the gripper's right finger and the cube deform.",,Possibly,0,1,0
Cosmos2.5,Cosmos,cosmos_RoboWM_026,pull,"The robotic arm pulls the white tape on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,1,0.67,1,1,0,0,0.5,1,0,0,0.67,"At the contact point, the robot gripper penetrates the object, and the object deforms. The deformed gripper and object appear to stick together.",,Yes,0,1,0
Cosmos2.5,Cosmos,cosmos_RoboWM_027,pull,"The robotic arm pulls the white tape roll on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,1,0,0.5,0,0,0,1,1,0,0,0,0.75,0,0,0,1,"The robot's forearm is slightly deformed/bent, and the task is incomplete: the gripper grasps the object but stops midway through lifting it.",,Yes,1,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_028,pull,"The robotic arm pulls the white tape roll a short distance toward the robotic arm's interior. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,1,1,0,0.33,0,0,0,0,1,0,0,0,1,"The object moves by itself toward the gripper, and the gripper chooses an incorrect contact point while attempting to lift it.",,Yes,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_029,pull,"The robotic arm pulls the brown cube on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,0,1,0.5,0,1,0,0.67,1,0,0,1,0.5,0,0,0,1,The second half of the robot arm is slightly shortened/deformed. The gripper pushes the cube outward rather than inward.,,Yes,1,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_030,pull,"The robotic arm pulls the brown cube on the table inward a short distance. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,0,1,0.5,0,0,0,1,1,1,0,1,0.25,0,0,0,1,"The gripper lifts the brown cube rather than pulling it inward, which is the wrong goal. At the contact point, the gripper's right finger deforms, and the object appears to become soft.",,Yes,0,1,0
Cosmos3 seed101,cosmos3 seed101,cosmos_RoboWM_000,close_drawer,"The robotic arm closes its grippers and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,The execution matches the prompt exactly.,,No,0,0,0
Cosmos3 seed101,cosmos3 seed101,cosmos_RoboWM_001,close_drawer,"The robotic arm closes its gripper and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,The execution matches the prompt exactly.,,No,0,0,0
Cosmos3 seed101,cosmos3 seed101,cosmos_RoboWM_002,close_drawer,"The robotic arm closes its grippers and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,1,0.5,1,1,0,0.33,0,1,0,0,0.75,0,1,0,0.67,"The gripper chooses the wrong contact point and starts inside the drawer. The drawer is then pulled closed with non-contact motion. Finally, the gripper penetrates the drawer, and the drawer deforms.",,Yes,0,0,0
Cosmos3 seed101,cosmos3 seed101,cosmos_RoboWM_003,discard_trash,"The robotic arm picks up the yellow cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,1,0.5,1,0,0,0.67,0,0,1,0,0.75,0,0,0,1,"The gripper grasps the yellow cube, but before finishing the task it releases the cube back onto the table. A duplicate of the cube then appears on the gripper, leading to task completion.",,Yes,0,0,0
Cosmos3 seed101,cosmos3 seed101,cosmos_RoboWM_004,discard_trash,"The robotic arm picks up the yellow cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,0,1,0,1,0,0.67,1,1,0,0,0.5,0,0,0,1,The gripper deforms as it approaches the cube. The second grasp uses a physically implausible contact.,,Possibly,0,1,0
Cosmos3 seed101,cosmos3 seed101,cosmos_RoboWM_005,discard_trash,"The robotic arm picks up the blue cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,0,1,0,0,0,1,1,0,0,0,0.75,0,0,0,1,The robot's forearm deforms and becomes significantly shorter after it grasps the cube.,,Possibly,1,0,0
