dataset,video,pipeline_status,link2_pdi_score,link3_pdi_score,link4_pdi_score,link5_pdi_score,link6_pdi_score,link7_pdi_score,link2_cad_epsilon_mean,link3_cad_epsilon_mean,link4_cad_epsilon_mean,link5_cad_epsilon_mean,link6_cad_epsilon_mean,link7_cad_epsilon_mean,link2_cad_epsilon_p90,link3_cad_epsilon_p90,link4_cad_epsilon_p90,link5_cad_epsilon_p90,link6_cad_epsilon_p90,link7_cad_epsilon_p90,link2_pose_discontinuity,link3_pose_discontinuity,link4_pose_discontinuity,link5_pose_discontinuity,link6_pose_discontinuity,link7_pose_discontinuity,cad_statuses,foundation_pose_video_depth_scale
COSMOS2.5,0011.mp4,complete,0.1928,0.3451,0.1691,0.2441,0.2888,0.2607,0.19574160153925374,0.18284737347915023,,0.10697307639893003,,,0.2405658949639796,0.19843565813556666,,0.13195280649836047,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:unscorable;link7:unscorable,1.1095694720678448
COSMOS2.5,0012.mp4,complete,0.1724,0.2871,0.4924,0.2116,0.3093,0.4813,0.1734684701769816,0.14963489307156483,,0.11275600325277155,,,0.20803345811527055,0.1751887334597724,,0.1688881539177302,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:unscorable;link7:unscorable,1.2311444133449163
COSMOS2.5,0013.mp4,complete,0.1207,0.2284,0.1845,0.3075,0.1969,0.2525,0.19405218342890648,0.14347725716726267,0.14971839986454055,0.12709545415854873,0.14113255920343207,,0.21412771489320767,0.16566325715262614,0.16107487723665645,0.14513039136150815,0.17296991306116227,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:unscorable,1.0352649238413774
COSMOS2.5,0014.mp4,complete,0.1664,0.2999,0.2407,0.3928,0.376,0.2862,0.20061370616187793,0.15636816383314908,0.20785090790849753,0.12023716052247155,,0.25810043670236116,0.23694337238934426,0.20441090839246084,0.23382908108906988,0.15955458267319353,,0.28511380312971357,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:uncalibrated,1.0717734625362931
COSMOS2.5,0021.mp4,complete,0.0985,0.2607,0.1411,0.1576,0.1191,0.2215,0.20918787097980324,0.13513036006409893,0.1442938254162341,0.09514800546518433,0.164685251920259,0.1798326576491451,0.2459462776286125,0.16438624153459902,0.15962432604188675,0.12247527453428218,0.20079172830606423,0.20739018142045273,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.109569472067845
COSMOS2.5,0022.mp4,complete,0.1859,0.3167,0.2062,0.2216,0.2577,0.443,0.17172242779940416,0.1298483030579835,,,0.1741161732906105,,0.20793901316780697,0.15723530410884076,,,0.26036528526387615,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:unscorable;link6:uncalibrated;link7:unscorable,1.148698354997035
COSMOS2.5,0023.mp4,complete,0.139,0.3328,0.2503,0.3326,0.2926,0.3417,0.1927181476859955,0.15665416233499108,0.18876085225075684,0.13017560871805242,0.11542852188122948,0.17506573664281622,0.2257349548993144,0.1900949775583913,0.20629786768935557,0.15516724223597406,0.1366903750219172,0.21467472461483497,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.0352649238413774
COSMOS2.5,0024.mp4,complete,0.0942,0.3739,0.1659,0.3567,0.2261,0.2819,0.1667003460496603,0.14192076014037586,,0.08306387981817966,0.15911720585037417,0.2554112447782419,0.1892501450344484,0.15409700464819745,,0.10574343686390802,0.17997153150047485,0.26730592429807526,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.2311444133449163
COSMOS2.5,0025.mp4,complete,0.128,0.2647,0.1559,0.1576,0.185,0.1955,0.2002237838302015,0.1536952610079056,0.20296322789972582,0.0797355175516581,,0.17337731378687857,0.24036801928502896,0.20853324098340079,0.23061796341826757,0.0976254585308897,,0.18836685509422565,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:uncalibrated,1.189207115002721
COSMOS2.5,0026.mp4,complete,0.1097,0.2099,0.2524,0.3513,0.4827,0.2892,0.16178498694190072,,0.22465869974793326,0.12229717867556579,,0.20011182922857854,0.17994757418171498,,0.24188873320708493,0.14297491966053896,,0.21028332034853423,False,False,False,False,False,False,link2:uncalibrated;link3:unscorable;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:uncalibrated,1.1095694720678448
COSMOS2.5,0027.mp4,complete,0.1118,0.2765,0.2158,0.1348,0.1431,0.2002,0.15229917401679705,0.16603660515539947,,0.07524135936407346,,0.3036826087026489,0.17113898830157726,0.1840826458740768,,0.08468765541991732,,0.33034295056824314,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:unscorable;link7:uncalibrated,1.3195079107728942
COSMOS2.5,0028.mp4,complete,0.1108,0.2601,0.1545,0.2731,0.2254,0.1969,0.1724898839968003,0.1436946999819162,0.14131552595468955,0.06905269380952027,0.16857070906537186,0.20887660696153043,0.21392520428230197,0.17872296761388606,0.16006295843968824,0.09830484882416253,0.23189222104837576,0.23439642047205989,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.189207115002721
COSMOS2.5,0029.mp4,complete,0.1253,0.2364,0.1524,0.1834,0.1677,0.1916,0.17767123695677975,0.14910147313378957,0.1943718988154131,0.07674383373052147,0.15110293495696644,0.19613582548970296,0.20897998036652324,0.1743268373743413,0.22348044606409842,0.09632049433839042,0.19887725337050963,0.22378451841503777,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.189207115002721
COSMOS2.5,0030.mp4,complete,0.1592,0.3079,0.2687,0.3516,0.3352,0.1077,0.15494015059078717,0.15325608514820163,0.20056038918914573,0.15957578966800173,0.19463268876683834,0.27781192783519243,0.17494663428076182,0.19610081124485476,0.21175291804040847,0.2137440375081482,0.22098331890328124,0.2954080386738041,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.0717734625362931
COSMOS3,0000.mp4,complete,0.0863,0.3561,0.2489,0.262,0.1989,0.247,0.12431109143397036,0.17030054146365525,0.12458216533119404,0.12431556599841859,,0.2712190214610146,0.14510710084964915,0.18313847170518602,0.14799599855475104,0.1574632274332702,,0.30841552634810465,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:uncalibrated,0.9330329915368074
COSMOS3,0001.mp4,complete,0.069,0.2249,0.1764,0.1522,0.1642,0.1807,0.1094482911814825,0.1449405000026056,,0.07751560678553887,0.14699628344332522,0.10336895085607113,0.14797577837627207,0.17765440213413616,,0.0990351630576406,0.2107926049263754,0.16638295560779745,False,False,False,False,False,True,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.0717734625362931
COSMOS3,0002.mp4,complete,0.1023,0.2095,0.1909,0.2733,0.161,0.2714,0.11725344611214499,0.16311342859154515,,0.11148209072259392,0.14448741808072468,0.2157987005249926,0.14440098705310642,0.18495367839730179,,0.13336436999986392,0.16124056935645129,0.26648810460578726,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.0352649238413774
COSMOS3,0003.mp4,complete,0.0803,0.27,0.1423,0.2236,0.2144,0.4151,0.1341774764649954,0.17563598352564797,,0.08826984957105354,0.151649555170328,,0.18484702027935873,0.21928440436678798,,0.11889289371597216,0.1756440947026532,,False,False,False,True,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:uncalibrated;link7:unscorable,1.2311444133449163
COSMOS3,0004.mp4,complete,0.1106,0.1989,0.1095,0.1725,0.2856,0.4074,0.09944011562053838,0.1200857598599978,,0.09397895495743466,,,0.11474385422318309,0.148081637609498,,0.13099730785936922,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:unscorable;link7:unscorable,1.189207115002721
COSMOS3,0005.mp4,complete,0.0884,0.2286,0.1937,0.2026,0.2626,0.445,0.11232925142911108,0.14604755504034417,0.20206372892962068,0.1105579830042685,,,0.13298182720708474,0.18730777472561666,0.23874330619746745,0.14731472690134712,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:unscorable,1.109569472067845
