dataset,relative_path,video_sha256,status,error,replay_selected,replay_status,replay_video,link2_status,link2_error,link2_depth_strategy,link2_depth_valid_frame_count,link2_depth_interpolated_frame_count,link2_depth_interpolated_frame_fraction,link2_depth_total_frame_count,link2_pdi_score,link2_grade,link2_scale_component,link2_trajectory_component,link2_rigidity_component,link2_vanishing_point_component,link2_sam3_tracked_fraction,link3_status,link3_error,link3_depth_strategy,link3_depth_valid_frame_count,link3_depth_interpolated_frame_count,link3_depth_interpolated_frame_fraction,link3_depth_total_frame_count,link3_pdi_score,link3_grade,link3_scale_component,link3_trajectory_component,link3_rigidity_component,link3_vanishing_point_component,link3_sam3_tracked_fraction,link4_status,link4_error,link4_depth_strategy,link4_depth_valid_frame_count,link4_depth_interpolated_frame_count,link4_depth_interpolated_frame_fraction,link4_depth_total_frame_count,link4_pdi_score,link4_grade,link4_scale_component,link4_trajectory_component,link4_rigidity_component,link4_vanishing_point_component,link4_sam3_tracked_fraction,link5_status,link5_error,link5_depth_strategy,link5_depth_valid_frame_count,link5_depth_interpolated_frame_count,link5_depth_interpolated_frame_fraction,link5_depth_total_frame_count,link5_pdi_score,link5_grade,link5_scale_component,link5_trajectory_component,link5_rigidity_component,link5_vanishing_point_component,link5_sam3_tracked_fraction,link6_status,link6_error,link6_depth_strategy,link6_depth_valid_frame_count,link6_depth_interpolated_frame_count,link6_depth_interpolated_frame_fraction,link6_depth_total_frame_count,link6_pdi_score,link6_grade,link6_scale_component,link6_trajectory_component,link6_rigidity_component,link6_vanishing_point_component,link6_sam3_tracked_fraction,link7_status,link7_error,link7_depth_strategy,link7_depth_valid_frame_count,link7_depth_interpolated_frame_count,link7_depth_interpolated_frame_fraction,link7_depth_total_frame_count,link7_pdi_score,link7_grade,link7_scale_component,link7_trajectory_component,link7_rigidity_component,link7_vanishing_point_component,link7_sam3_tracked_fraction,geometry_seconds,query_preparation_seconds,tracker_load_seconds,exact_group_model_seconds,exact_group_total_tracking_seconds,peak_gpu_memory_bytes,total_seconds
COSMOS2.5,0010.mp4,6d3e20dd4ed10a7b731e39e95816cf18e378ebd46abe177c35102e8f1e912fbf,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1395,B (Minor Jitter) - slight geometric jitter,0.1094,0.2258,0.0273,0.0156,1.0,complete,,direct,93,0,0.0,93,0.4269,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.7783,0.2802,0.0176,0.4216,1.0,complete,,direct,93,0,0.0,93,0.1766,B (Minor Jitter) - slight geometric jitter,0.1746,0.2504,0.033,0.7076,1.0,complete,,direct,93,0,0.0,93,0.2662,B (Minor Jitter) - slight geometric jitter,0.4313,0.227,0.0144,0.7945,1.0,complete,,direct,93,0,0.0,93,0.2678,B (Minor Jitter) - slight geometric jitter,0.3325,0.3237,0.0266,0.9324,1.0,complete,,direct,93,0,0.0,93,0.4777,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.7008,0.3173,0.3524,1.0,1.0,356.3664404559531,1.586149448005017,0.9307859240216203,2.033273446955718,2.0504115839721635,5754609152,368.01639658398926
COSMOS2.5,0011.mp4,0d9430bfc5faab7c620e5c43b2dc242c788786b20c96bf779547a6d6a6126557,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1858,B (Minor Jitter) - slight geometric jitter,0.0957,0.3529,0.0316,0.2051,1.0,complete,,direct,93,0,0.0,93,0.3449,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4323,0.4189,0.0219,0.4006,1.0,failed,only 1/93 frames have valid target depths; need at least 75,unavailable,1,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.2412,B (Minor Jitter) - slight geometric jitter,0.2806,0.3128,0.0195,0.9716,1.0,complete,,direct,93,0,0.0,93,0.2925,B (Minor Jitter) - slight geometric jitter,0.3945,0.2507,0.1719,0.803,1.0,complete,,direct,93,0,0.0,93,0.24,B (Minor Jitter) - slight geometric jitter,0.2231,0.3128,0.1281,0.9909,1.0,344.91924707900034,1.5562522030086257,1.0969577659852803,4.142354835988954,4.157094158988912,5754609152,358.1175042120158
COSMOS2.5,0012.mp4,059013743bfde0a65dc2357974981ea2031dc2fe4349a89af297a7c538ab9fd2,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1706,B (Minor Jitter) - slight geometric jitter,0.0373,0.3721,0.0343,0.1849,1.0,complete,,direct,93,0,0.0,93,0.2861,B (Minor Jitter) - slight geometric jitter,0.3384,0.3669,0.0199,0.4192,1.0,failed,only 48/93 frames have valid target depths; need at least 75,unavailable,48,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.2113,B (Minor Jitter) - slight geometric jitter,0.2038,0.3153,0.0182,0.9722,1.0,complete,,direct,93,0,0.0,93,0.3067,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4248,0.3356,0.0127,0.0,1.0,complete,,direct,93,0,0.0,93,0.4531,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.2437,0.3891,1.0,0.0,1.0,374.0417361499858,1.63321477296995,0.9604395579663105,3.593457463022787,3.6080363140208647,5754609152,386.6869984759833
COSMOS2.5,0013.mp4,7709a4eb0c0f652a8326832354c8374d44d53e39bcc24be911faadc828c16281,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1171,B (Minor Jitter) - slight geometric jitter,0.0659,0.2146,0.0248,0.1642,1.0,complete,,direct,93,0,0.0,93,0.2255,B (Minor Jitter) - slight geometric jitter,0.3249,0.2298,0.0184,0.4274,1.0,complete,,direct,93,0,0.0,93,0.4454,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.7803,0.3225,0.0215,0.6755,1.0,complete,,direct,93,0,0.0,93,0.3738,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5379,0.3883,0.0163,0.477,1.0,complete,,direct,93,0,0.0,93,0.1994,B (Minor Jitter) - slight geometric jitter,0.0715,0.4096,0.0346,0.0,1.0,complete,,direct,93,0,0.0,93,0.2654,B (Minor Jitter) - slight geometric jitter,0.1746,0.4536,0.0705,0.0,1.0,343.3736481760279,1.5510516570066102,0.849148218985647,4.316631399036851,4.333755953994114,5754609152,357.0535022279946
COSMOS2.5,0014.mp4,84c0fa887ea26961e15d5c660ed6fa3850dfab1c4fa4c575470b7b811fc0ca4c,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1597,B (Minor Jitter) - slight geometric jitter,0.0343,0.3486,0.0327,0.0986,1.0,complete,,direct,93,0,0.0,93,0.3162,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4762,0.2985,0.0317,0.2978,1.0,complete,,direct,93,0,0.0,93,0.2564,B (Minor Jitter) - slight geometric jitter,0.1765,0.4531,0.0229,0.3788,1.0,complete,,direct,93,0,0.0,93,0.264,B (Minor Jitter) - slight geometric jitter,0.3506,0.3001,0.0184,0.2059,1.0,complete,,direct,93,0,0.0,93,0.3852,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3743,0.4811,0.2149,0.0,1.0,complete,,direct,93,0,0.0,93,0.2894,B (Minor Jitter) - slight geometric jitter,0.3368,0.3282,0.1171,0.0,1.0,367.64452248602174,1.5804381869966164,0.9038295419886708,3.6378867250168696,3.653842809027992,5754609152,380.67130595695926
COSMOS2.5,0015.mp4,10c80792567e7b7921493f81bb05dc88a88f5cf2a0be65845287d534196c9bb0,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.082,A (Physical Realism) - physically consistent and tight,0.0301,0.1596,0.0308,0.1204,1.0,complete,,direct,93,0,0.0,93,0.3157,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4865,0.2826,0.0405,0.3136,1.0,complete,,direct,93,0,0.0,93,0.1622,B (Minor Jitter) - slight geometric jitter,0.1163,0.2611,0.0559,0.7335,1.0,complete,,direct,93,0,0.0,93,0.2317,B (Minor Jitter) - slight geometric jitter,0.1265,0.4421,0.0214,0.7905,1.0,complete,,direct,93,0,0.0,93,0.3052,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.1375,0.4184,0.4141,0.7733,1.0,complete,,direct,93,0,0.0,93,0.179,B (Minor Jitter) - slight geometric jitter,0.1222,0.3178,0.015,0.5688,1.0,345.0897794649936,1.5822370859677903,0.9719055030145682,4.321131151053123,4.337915624026209,5754609152,358.95638940198114
COSMOS2.5,0016.mp4,e5958f4182b2e45abf2da9b54a9ffb73ed3feb19e83838a38d5337606fb12886,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1257,B (Minor Jitter) - slight geometric jitter,0.0741,0.2307,0.0189,0.0908,1.0,complete,,direct,93,0,0.0,93,0.2205,B (Minor Jitter) - slight geometric jitter,0.3195,0.2222,0.0189,0.3863,1.0,complete,,direct,93,0,0.0,93,0.1736,B (Minor Jitter) - slight geometric jitter,0.1796,0.2487,0.0112,0.916,1.0,complete,,direct,93,0,0.0,93,0.1707,B (Minor Jitter) - slight geometric jitter,0.134,0.2857,0.0143,0.8055,1.0,complete,,direct,93,0,0.0,93,0.1808,B (Minor Jitter) - slight geometric jitter,0.0673,0.3516,0.0663,0.6861,1.0,complete,,direct,93,0,0.0,93,0.2133,B (Minor Jitter) - slight geometric jitter,0.1364,0.3712,0.0511,0.7033,1.0,365.95331613498274,1.566609558998607,0.8757243229774758,3.5915044139837846,3.607520989025943,5754609152,378.98006727796746
COSMOS2.5,0017.mp4,57f435e16d6292003b90b329172a25f9d94a3d17f79611ad89ebff60e983009e,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.172,B (Minor Jitter) - slight geometric jitter,0.0228,0.3908,0.0329,0.1548,1.0,complete,,direct,93,0,0.0,93,0.2505,B (Minor Jitter) - slight geometric jitter,0.3098,0.2994,0.0341,0.3557,1.0,complete,,direct,93,0,0.0,93,0.3843,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5952,0.2495,0.2321,0.6532,1.0,complete,,direct,93,0,0.0,93,0.1753,B (Minor Jitter) - slight geometric jitter,0.0963,0.3341,0.0155,0.6415,1.0,complete,,direct,93,0,0.0,93,0.1894,B (Minor Jitter) - slight geometric jitter,0.1363,0.255,0.1643,0.7887,1.0,complete,,direct,93,0,0.0,93,0.194,B (Minor Jitter) - slight geometric jitter,0.1643,0.2811,0.0791,0.646,1.0,337.45402233401546,1.5518023850163445,1.0332250759820454,4.22248443798162,4.24008918897016,5754609152,356.64437003299827
COSMOS2.5,0018.mp4,18098cccfcab952245fac416f74243892993581bbfa712aa48956e89ef00e1a1,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.0836,A (Physical Realism) - physically consistent and tight,0.0302,0.1636,0.0302,0.1134,1.0,complete,,direct,93,0,0.0,93,0.2977,B (Minor Jitter) - slight geometric jitter,0.4722,0.2495,0.0449,0.3546,1.0,complete,,direct,93,0,0.0,93,0.2524,B (Minor Jitter) - slight geometric jitter,0.3374,0.2473,0.0928,0.7844,1.0,complete,,direct,93,0,0.0,93,0.2117,B (Minor Jitter) - slight geometric jitter,0.0829,0.439,0.0145,0.9748,1.0,complete,,direct,93,0,0.0,93,0.2506,B (Minor Jitter) - slight geometric jitter,0.0463,0.4412,0.2778,0.0,1.0,complete,,direct,93,0,0.0,93,0.2655,B (Minor Jitter) - slight geometric jitter,0.1378,0.5154,0.0215,0.5486,1.0,369.1943156310008,1.5220655720331706,0.8341700019664131,3.5776385760400444,3.5932015330181457,5754609152,382.1984683490009
COSMOS2.5,0021.mp4,add965fbd25aeed935f389d2721cfa5c815c58955ca8ac3824786a0291d0024f,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.0989,A (Physical Realism) - physically consistent and tight,0.0672,0.1668,0.0265,0.0134,1.0,complete,,direct,93,0,0.0,93,0.2649,B (Minor Jitter) - slight geometric jitter,0.3688,0.2769,0.033,0.1487,1.0,failed,only 45/93 frames have valid target depths; need at least 75,unavailable,45,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.1596,B (Minor Jitter) - slight geometric jitter,0.0807,0.2936,0.0493,0.9455,1.0,complete,,direct,93,0,0.0,93,0.1204,B (Minor Jitter) - slight geometric jitter,0.0398,0.2519,0.0189,0.8876,1.0,complete,,direct,93,0,0.0,93,0.2223,B (Minor Jitter) - slight geometric jitter,0.1279,0.3862,0.0834,0.3612,1.0,342.1686132099712,1.5713168890215456,0.8852665480226278,4.18352036899887,4.199500657967292,5754609152,355.2924176949891
COSMOS2.5,0022.mp4,1ee910960da15b4c35bc781b3678e6c6fe811658cbedb988bd48a58c098964f2,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1935,B (Minor Jitter) - slight geometric jitter,0.0618,0.4016,0.0407,0.0731,1.0,complete,,direct,93,0,0.0,93,0.3094,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4484,0.3134,0.0237,0.2177,1.0,complete,,direct,93,0,0.0,93,0.2151,B (Minor Jitter) - slight geometric jitter,0.1498,0.3684,0.0393,0.3157,1.0,complete,,direct,93,0,0.0,93,0.1673,B (Minor Jitter) - slight geometric jitter,0.0872,0.3045,0.0528,0.4065,1.0,complete,,direct,93,0,0.0,93,0.2517,B (Minor Jitter) - slight geometric jitter,0.2808,0.3141,0.0689,0.4533,1.0,complete,,direct,93,0,0.0,93,0.2662,B (Minor Jitter) - slight geometric jitter,0.303,0.2425,0.2402,0.7371,1.0,367.94232603296405,1.5612235569860786,0.8876692740013823,3.5557330760057084,3.5721886579995044,5754609152,380.8769947759574
COSMOS2.5,0023.mp4,cb37fd53f864e6c3434fc587ae96cd944c8bf15a00d916852574a093ef2da396,complete,,False,not_selected,,complete,,direct,93,0,0.0,93,0.1434,B (Minor Jitter) - slight geometric jitter,0.0566,0.2828,0.0383,0.1448,1.0,complete,,direct,93,0,0.0,93,0.341,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3738,0.4678,0.0217,0.327,1.0,complete,,direct,93,0,0.0,93,0.2396,B (Minor Jitter) - slight geometric jitter,0.1072,0.4744,0.0348,0.4913,1.0,complete,,direct,93,0,0.0,93,0.3341,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3043,0.5175,0.0269,0.5697,1.0,complete,,direct,93,0,0.0,93,0.2942,B (Minor Jitter) - slight geometric jitter,0.1989,0.5173,0.0384,0.9951,1.0,complete,,direct,93,0,0.0,93,0.3103,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.349,0.4124,0.0288,0.621,1.0,341.9746052529663,1.6523448579828255,1.207065642985981,4.181779749982525,4.197106466977857,5754609152,362.7364219640149
